	HL7	IE5	HL5	HL4	HL2	HL1	HE4	HE5	HE7	HE1	HE2	IE3	IE2	HE8	IE7	IE9	IE8	IL6	IL4	IL2	IL3	IL1	IL8
HL7	0.0	0.403856836474	0.312807147021	0.411610201127	0.258189665301	0.545158321042	0.383920725399	0.310666815352	0.310991829567	0.46682124488	0.417642215851	0.400723289421	0.440549048485	0.568664249291	0.52170729018	0.663055047723	0.59168167157	0.315359839194	0.438538363644	0.425682078134	0.341227711052	0.579462943733	0.438783654463
IE5	0.403856836474	0.0	0.429517467135	0.494335058867	0.337491140073	0.644828556717	0.503000937094	0.354616287767	0.429672399873	0.506125588738	0.476422791429	0.29308548777	0.288323476951	0.675818363794	0.465768169175	0.641496958546	0.499768948988	0.367065470183	0.382975366091	0.251083074159	0.283474775048	0.516857066867	0.456164492041
HL5	0.312807147021	0.429517467135	0.0	0.383038135882	0.271493972739	0.526552129652	0.417719343473	0.344114421454	0.371652991213	0.452993357668	0.393574900843	0.407570454184	0.452271975806	0.540211864975	0.546771320339	0.675347457367	0.591867144508	0.322358855664	0.499494729899	0.393759677899	0.333400798669	0.571619576796	0.488043764992
HL4	0.411610201127	0.494335058867	0.383038135882	0.0	0.397512072223	0.49619184212	0.471808659846	0.38637126585	0.384002837543	0.453229333443	0.430156832505	0.439850562219	0.532854099981	0.512318562724	0.563791877516	0.611388733295	0.519785633149	0.389545620659	0.533619174265	0.46104853985	0.453800924616	0.534625784013	0.558521845323
HL2	0.258189665301	0.337491140073	0.271493972739	0.397512072223	0.0	0.528015550131	0.410681557511	0.259993172598	0.31336893431	0.451805318278	0.409065894952	0.351086758415	0.41018931066	0.573637450572	0.50077160834	0.667069234839	0.591838151199	0.254785961435	0.463526504283	0.286440812775	0.237342204861	0.562786838374	0.440185807882
HL1	0.545158321042	0.644828556717	0.526552129652	0.49619184212	0.528015550131	0.0	0.407015208955	0.507706990395	0.471190720958	0.416509255143	0.425470669831	0.54942308621	0.662794218058	0.340864647045	0.605567790957	0.534979414475	0.571499807007	0.567174659498	0.704653162147	0.637391623343	0.629925506411	0.544265575503	0.541797210439
HE4	0.383920725399	0.503000937094	0.417719343473	0.471808659846	0.410681557511	0.407015208955	0.0	0.366193464706	0.340479558171	0.331029149101	0.360527566037	0.440926999384	0.52691735696	0.430336823568	0.460497767556	0.550071651911	0.498090908184	0.474438875012	0.59944433871	0.515788239181	0.511606820968	0.520325962523	0.438206445163
HE5	0.310666815352	0.354616287767	0.344114421454	0.38637126585	0.259993172598	0.507706990395	0.366193464706	0.0	0.294292985482	0.379768907303	0.374194713256	0.35644797428	0.413729963171	0.55092919349	0.522877668005	0.63607616478	0.576510790079	0.388648976062	0.479133924334	0.397312053032	0.346204602794	0.559917589584	0.443065675388
HE7	0.310991829567	0.429672399873	0.371652991213	0.384002837543	0.31336893431	0.471190720958	0.340479558171	0.294292985482	0.0	0.365658528127	0.350135611498	0.397849451975	0.452986239549	0.494915439165	0.468176843064	0.5769541569	0.530675857902	0.387662379446	0.544236032826	0.428045594711	0.419692597967	0.516869668502	0.458205114832
HE1	0.46682124488	0.506125588738	0.452993357668	0.453229333443	0.451805318278	0.416509255143	0.331029149101	0.379768907303	0.365658528127	0.0	0.302909238698	0.453644261036	0.535963217773	0.37962741521	0.534584062496	0.517523980807	0.486371116258	0.514765802178	0.610948061076	0.515539066316	0.560334538771	0.457421167551	0.497894442576
